country,age,male,female
Austria,<14,7845,6475
Austria,14-17,8580,1140
Austria,18-34,27120,6700
Austria,35-64,7565,3210
Austria,>65,150,130
Belgium,<14,4125,3580
Belgium,14-17,3280,740
Belgium,18-34,15195,4640
Belgium,35-64,5155,2435
Belgium,>65,130,135
Bulgaria,<14,1735,1290
Bulgaria,14-17,1705,280
Bulgaria,18-34,9910,1590
Bulgaria,35-64,1435,675
Bulgaria,>65,30,30
Croatia,<14,5,0
Croatia,14-17,0,0
Croatia,18-34,100,5
Croatia,35-64,55,0
Croatia,>65,0,0
Cyprus,<14,150,140
Cyprus,14-17,65,50
Cyprus,18-34,640,310
Cyprus,35-64,200,225
Cyprus,>65,5,0
Czech Republic,<14,95,80
Czech Republic,14-17,15,0
Czech Republic,18-34,390,165
Czech Republic,35-64,320,120
Czech Republic,>65,0,0
Denmark,<14,1770,1460
Denmark,14-17,1725,370
Denmark,18-34,7205,2440
Denmark,35-64,2190,990
Denmark,>65,60,65
Estonia,<14,35,15
Estonia,14-17,5,0
Estonia,18-34,70,15
Estonia,35-64,25,5
Estonia,>65,0,0
Finland,<14,2385,1835
Finland,14-17,3010,390
Finland,18-34,16745,2715
Finland,35-64,3975,985
Finland,>65,40,30
France,<14,4735,4720
France,14-17,830,710
France,18-34,21450,9835
France,35-64,9750,6080
France,>65,325,445
Germany,<14,60535,52735
Germany,14-17,25145,9100
Germany,18-34,180100,56285
Germany,35-64,58560,30485
Germany,>65,1245,1435
Greece,<14,710,635
Greece,14-17,510,145
Greece,18-34,5105,1165
Greece,35-64,1710,660
Greece,>65,25,45
Hungary,<14,18430,12620
Hungary,14-17,12460,2345
Hungary,18-34,90095,14760
Hungary,35-64,19265,6520
Hungary,>65,260,150
Iceland,<14,25,20
Iceland,14-17,10,0
Iceland,18-34,135,25
Iceland,35-64,55,10
Iceland,>65,0,0
Ireland,<14,140,105
Ireland,14-17,45,25
Ireland,18-34,1655,260
Ireland,35-64,415,115
Ireland,>65,0,0
Italy,<14,1550,1315
Italy,14-17,3420,200
Italy,18-34,57775,5875
Italy,35-64,6230,1515
Italy,>65,15,45
Latvia,<14,30,30
Latvia,14-17,10,0
Latvia,18-34,125,35
Latvia,35-64,55,5
Latvia,>65,0,0
Liechtenstein,<14,20,5
Liechtenstein,14-17,0,0
Liechtenstein,18-34,40,10
Liechtenstein,35-64,20,5
Liechtenstein,>65,0,0
Lithuania,<14,30,15
Lithuania,14-17,5,0
Lithuania,18-34,105,30
Lithuania,35-64,65,20
Lithuania,>65,0,0
Luxembourg,<14,185,160
Luxembourg,14-17,85,25
Luxembourg,18-34,615,180
Luxembourg,35-64,265,105
Luxembourg,>65,0,0
Malta,<14,125,120
Malta,14-17,60,5
Malta,18-34,730,125
Malta,35-64,215,85
Malta,>65,5,0
Netherlands,<14,2900,2190
Netherlands,14-17,3515,895
Netherlands,18-34,16855,5495
Netherlands,35-64,7015,2280
Netherlands,>65,155,160
Norway,<14,2800,1980
Norway,14-17,4970,630
Norway,18-34,12805,3260
Norway,35-64,3300,1260
Norway,>65,50,55
Poland,<14,2350,2170
Poland,14-17,260,240
Poland,18-34,1825,1795
Poland,35-64,1115,1175
Poland,>65,25,75
Portugal,<14,40,45
Portugal,14-17,20,10
Portugal,18-34,265,135
Portugal,35-64,110,75
Portugal,>65,0,0
Romania,<14,95,80
Romania,14-17,65,15
Romania,18-34,480,130
Romania,35-64,175,55
Romania,>65,0,0
Slovakia,<14,10,15
Slovakia,14-17,0,0
Slovakia,18-34,70,5
Slovakia,35-64,25,5
Slovakia,>65,0,0
Slovenia,<14,20,5
Slovenia,14-17,40,0
Slovenia,18-34,120,20
Slovenia,35-64,50,0
Slovenia,>65,0,0
Spain,<14,1185,1085
Spain,14-17,240,190
Spain,18-34,3390,1665
Spain,35-64,1430,1010
Spain,>65,40,75
Sweden,<14,20015,14800
Sweden,14-17,31420,4165
Sweden,18-34,45790,18700
Sweden,35-64,16565,9505
Sweden,>65,695,820
Switzerland,<14,3385,3110
Switzerland,14-17,2610,675
Switzerland,18-34,15950,4405
Switzerland,35-64,2965,1355
Switzerland,>65,35,60
United Kingdom,<14,2055,1685
United Kingdom,14-17,2330,485
United Kingdom,18-34,14860,3965
United Kingdom,35-64,3730,1935
United Kingdom,>65,130,155
