CITIZEN,GEO,Y2015M01,Y2015M02,Y2015M03,Y2015M04,Y2015M05,Y2015M06,Y2015M07,Y2015M08,Y2015M09,Y2015M10,Y2015M11,Y2015M12
Afghanistan,Austria,635,420,580,775,1505,1830,2765,1910,2315,3965,,
Afghanistan,Belgium,200,135,130,155,185,325,410,470,595,1370,2160,
Afghanistan,Bulgaria,275,345,250,235,295,255,525,335,750,1180,970,
Afghanistan,Croatia,5,0,0,0,0,0,0,0,0,0,5,
Afghanistan,Cyprus,0,0,0,0,0,0,0,0,0,5,,
Afghanistan,Czech Rep.,0,0,5,0,0,5,0,0,0,0,,
Afghanistan,Denmark,25,25,25,25,45,45,60,80,215,325,,
Afghanistan,Estonia,0,0,0,0,0,0,0,0,10,0,0,
Afghanistan,Finland,10,15,25,10,25,45,75,205,490,1035,2630,
Afghanistan,France,40,55,80,75,40,80,80,105,235,375,,
Afghanistan,Germany,1305,1125,1075,1310,1390,2260,2465,2815,3465,5070,5380,4235
Afghanistan,Greece,180,190,180,190,140,135,185,150,140,95,,
Afghanistan,Hungary,1400,1220,1505,2310,4720,6755,10150,10435,7375,175,100,
Afghanistan,Iceland,0,0,0,0,0,0,0,5,0,5,0,
Afghanistan,Ireland,5,10,0,5,0,5,10,20,25,15,,
Afghanistan,Italy,290,405,295,245,230,305,325,410,355,385,325,
Afghanistan,Latvia,0,0,0,0,0,15,5,0,15,0,0,
Afghanistan,Lithuania,0,0,0,0,0,0,0,10,0,15,0,0
Afghanistan,Luxembourg,0,0,0,0,0,0,0,10,10,35,,
Afghanistan,Malta,0,0,0,0,0,0,0,0,0,,,
Afghanistan,Netherlands,70,70,65,75,75,70,95,150,175,470,,
Afghanistan,Norway,70,40,60,60,150,265,325,445,635,2035,2540,365
Afghanistan,Poland,0,5,0,0,0,0,0,0,0,0,5,
Afghanistan,Portugal,0,0,0,0,0,0,0,0,0,0,,
Afghanistan,Romania,5,5,10,5,5,5,5,15,10,15,,
Afghanistan,Slovakia,0,0,0,0,5,0,10,5,0,0,10,
Afghanistan,Slovenia,0,5,10,5,0,0,5,0,0,5,10,10
Afghanistan,Spain,0,0,0,5,0,0,0,0,0,,,
Afghanistan,Sweden,350,260,265,250,420,740,1215,2195,4225,11585,14645,
Afghanistan,Switzerland,90,90,40,65,110,155,255,460,660,1535,2385,
Afghanistan,UK,115,115,130,125,140,295,350,320,345,450,,
Albania,Austria,15,5,10,10,15,5,5,15,25,25,,
Albania,Belgium,70,55,70,55,45,55,65,55,110,130,50,
Albania,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Albania,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Albania,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Albania,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Albania,Denmark,0,5,5,5,5,10,15,5,20,5,,
Albania,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Albania,Finland,5,20,5,15,25,70,280,160,85,50,30,
Albania,France,190,185,205,255,235,195,285,255,420,485,,
Albania,Germany,1650,1815,3040,4825,4965,5960,7710,8285,6780,4795,3140,1800
Albania,Greece,25,35,45,30,45,55,75,70,150,185,,
Albania,Hungary,25,35,20,35,20,20,25,25,30,5,5,
Albania,Iceland,0,0,5,5,0,10,10,15,20,25,10,
Albania,Ireland,20,10,10,20,15,20,25,20,30,10,,
Albania,Italy,25,40,25,40,20,25,35,30,45,50,50,
Albania,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Albania,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Luxembourg,5,5,5,10,20,10,15,30,15,20,,
Albania,Malta,0,0,0,0,0,0,0,0,0,,,
Albania,Netherlands,10,15,10,15,25,40,70,75,170,285,,
Albania,Norway,10,25,35,25,45,45,85,35,65,15,25,20
Albania,Poland,0,0,0,0,0,0,0,0,0,0,0,
Albania,Portugal,0,0,0,0,0,0,0,0,0,0,,
Albania,Romania,0,0,0,0,0,0,0,0,0,0,,
Albania,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Albania,Slovenia,0,0,0,5,5,0,0,0,0,0,0,0
Albania,Spain,0,0,0,0,0,0,0,0,0,,,
Albania,Sweden,100,130,185,155,175,200,360,295,420,255,205,
Albania,Switzerland,10,5,15,25,40,25,20,100,125,40,15,
Albania,UK,140,125,150,135,135,155,170,145,155,195,,
Algeria,Austria,50,75,70,90,105,120,100,65,55,60,,
Algeria,Belgium,15,15,10,15,20,5,10,15,5,10,5,
Algeria,Bulgaria,0,0,5,0,0,5,0,0,0,5,5,
Algeria,Croatia,5,5,0,0,0,5,0,0,5,0,0,
Algeria,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Algeria,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Algeria,Denmark,15,10,10,10,10,5,5,10,10,5,,
