name,applicants,decisions_total,positive,population
Belgium,22850,20410,8055,11000638
Bulgaria,11080,7435,7000,7364570
Czech Republic,1155,1005,375,10436560
Denmark,14715,8090,5480,5560628
Germany,202815,97415,40560,80219695
Estonia,155,55,20,1294455
Ireland,1450,1060,400,4574888
Greece,9435,13310,1970,10816286
Spain,5615,3620,1585,46815910
France,64310,68500,14815,64933400
Croatia,450,235,25,4284889
Italy,64625,35180,20580,59433744
Cyprus,1745,1305,995,840407
Latvia,375,95,25,2070371
Lithuania,440,185,70,3043429
Luxembourg,1150,885,120,512353
Hungary,42775,5445,510,9937628
Malta,1350,1735,1260,417432
Netherlands,24535,18810,12550,16655799
Austria,28065,,,8401940
Poland,8025,2700,720,38044565
Portugal,445,230,110,10562178
Romania,1545,1585,740,20121641
Slovenia,385,95,45,2050189
Slovakia,330,280,170,5397036
Finland,3625,2345,1270,5375276
Sweden,81325,40015,30650,9482855
United Kingdom,33010,26005,10125,63182180
Iceland,170,120,30,315556
Liechtenstein,75,10,0,36149
Norway,11480,7680,4910,4979954
Switzerland,23770,21860,15410,7954662
